Team,Type,num_blows,tare,tare_wet,tare_dry
WIB,PL,NA,2.3199,3.1459,2.9899
WIB,PL,NA,2.3288,2.9059,2.8025
WIB,PL,NA,2.2333,3.3202,3.1184
WIB,LL,121,2.2399,3.5291,3.2142
WIB,LL,61,2.2669,3.9089,3.4835
WIB,LL,67,2.2135,3.2815,3.0069
WIB,LL,31,2.3317,3.8349,3.4171
WIB,LL,14,2.2684,3.9093,3.4085
